Excitation
"Frequency"[Hz]	"Real [Ohm]"	"Imaginary [Ohm]"	
6.93000000E+06	6.95322956E+01	-1.31435925E+01	
6.94555556E+06	6.99960639E+01	-1.02256205E+01	
6.96111111E+06	7.04630157E+01	-7.30805298E+00	
6.97666667E+06	7.09327966E+01	-4.39267854E+00	
6.99222222E+06	7.14054917E+01	-1.47749726E+00	
7.00777778E+06	7.18813226E+01	1.43611076E+00	
7.02333333E+06	7.23601433E+01	4.34950838E+00	
7.03888889E+06	7.28420052E+01	7.26180568E+00	
7.05444444E+06	7.33269477E+01	1.01743870E+01	
7.07000000E+06	7.38150492E+01	1.30866242E+01	
