Excitation
"Frequency"[Hz]	"Real Reflection coefficient []"	"Imaginary Impedance [Ohm]"	
7.07000000E+06	2.01078547E-01	1.30826186E+01	
7.14000000E+06	2.39195423E-01	2.61107290E+01	
7.21000000E+06	2.87098391E-01	3.91306520E+01	
7.28000000E+06	3.40060850E-01	5.21543748E+01	
7.35000000E+06	3.94223928E-01	6.51836152E+01	
7.42000000E+06	4.46883605E-01	7.82268272E+01	
7.49000000E+06	4.96363747E-01	9.12873175E+01	
7.56000000E+06	5.41807626E-01	1.04370384E+02	
7.63000000E+06	5.82923902E-01	1.17482384E+02	
7.70000000E+06	6.19764983E-01	1.30627339E+02	
